gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
18.795918,58.23308242,24.96147813,7.163782991,3.4964905,,,
15.487885,58.55428367,23.34727617,7.782648165,2.623211,,3652,
13.489934,55.51624698,24.71231557,8.360616133,1.8464708,,4568.75,
13.485077,57.85567763,23.88917827,7.343075153,1.7526941,0.081739046,4216,0.53587836
9.288032,56.6667443,23.11013055,7.261209262,0.6489811,2.667597,6365.25,1.3430179
15.680554,56.69080595,25.45825481,7.504523346,2.727644,,4088.84,
17.075756,56.88397273,24.40494395,7.470183334,2.877118,,,
19.072916,55.98342457,25.60689252,6.919322653,3.503025,,,
16.825598,56.81861061,24.74713358,6.805153905,3.301467,,4539.92,
18.177454,56.46297059,24.43624308,7.289079032,2.0690575,,,
16.688633,55.07859449,23.90637863,7.43856225,2.9540339,,4619.04,
16.57762,56.81416491,23.43481859,7.114856621,2.9823294,,4462.4697,
15.349448,57.55422883,24.35182422,6.994192806,,,,
17.51333,57.53599234,24.67146342,7.193557608,3.0711346,,,
6.7984514,56.8728112,24.28813676,7.166029341,0.1070447,,8884.333,
13.597135,58.61863911,24.32093667,7.348691749,1.7922897,0.07704703,4135.49,0.5407252
16.101727,57.27475281,23.10592414,7.37539674,2.8650742,,3921.4849,
14.990769,57.85786624,24.79395899,7.45753677,2.7165966,,3893.6477,
14.440887,55.77315196,24.82441747,7.214996616,2.5287046,0.055880416,3518.7148,0.6360838
18.056498,55.51484461,25.32146689,7.970198139,3.6955643,,,
16.298235,56.89244237,25.71817127,7.459648798,2.8961077,,3961.8264,
16.569078,57.3867671,25.79621761,7.300648933,2.9173527,,3927.47,
15.512853,56.09757763,25.35817286,7.978747485,2.8863144,,4127.3647,
16.449276,55.90245895,23.20932703,8.010258931,3.097334,,4287.5835,
15.525212,57.16636069,24.21171903,7.099758096,2.5934458,,3915.97,
16.562424,56.74789579,24.87934033,7.24057077,3.188634,,4065,
10.6272955,55.9518164,25.1898679,7.641885582,1.0561934,0.7599631,5206.13,1.071566
17.728218,55.02968575,24.21745659,7.285566392,3.2724953,,,
15.659837,56.46907372,25.86157593,6.574257156,,,,
12.802538,56.1560513,25.13759096,7.565130094,1.5158587,0.12718314,4484.3364,0.59084153
11.192917,56.04683049,23.3791258,7.479148239,1.0491371,0.48294327,5068.6665,0.9011836
17.13806,56.65986537,25.55502273,1.693549928,2.0105877,,,
19.648684,56.21849241,24.61360114,8.690678909,2.6337852,,,
16.281382,57.16854808,24.60929807,7.242752647,2.9242535,,4147.3477,
18.055698,56.44549549,23.88329399,7.433292077,2.5110378,,,
11.907715,57.42624241,24.46280621,7.490018099,1.1980419,0.2594427,4889.265,0.709882
19.256031,56.47994706,22.8584623,8.878833622,2.9888058,,,
10.697075,57.91861228,24.98296932,7.403034096,0.9161043,0.7355475,5441.2,0.96509176
14.82013,56.87755178,24.37034111,7.36366617,2.3304596,,3747.645,
16.155901,56.19731023,24.01034494,7.757879586,2.698223,,3560,
14.965404,57.12947017,24.28127956,7.165317449,2.4309053,0.039697684,3364,0.5865746
16.024557,57.03323238,23.73971533,7.482147579,2.7911282,,3823.03,
12.0959635,57.82036807,23.82640608,7.320482856,1.2459354,0.22204721,5010.75,0.6252732
12.572007,56.0913737,24.76821318,7.342111248,1.4118891,0.16132994,4573,0.63989353
17.476173,55.41606906,24.87487196,7.605834305,3.1974297,,,
16.474865,57.25630434,24.19380816,7.05349512,2.8738222,,3904.36,
17.34021,57.35676453,23.0471137,7.665073763,3.1230888,,,
17.280577,57.09972203,23.13547803,7.573290538,3.1035156,,,
15.455881,56.85754998,25.14231765,7.511472323,2.9464998,,3926.9834,
15.422022,58.29240441,23.05279726,7.385707541,2.5852604,,3945.335,
17.095518,55.68490588,23.10433067,7.657735749,3.1794567,,,
14.095937,57.80039396,23.93243671,7.482308497,2.0349836,0.06052644,3746,0.5841033
17.82589,56.2850799,23.41677523,7.612739936,3.178276,,,
16.980083,58.01499937,25.02031514,7.399897079,2.9961643,,4443.76,
17.115084,57.91337917,23.85492163,7.451215415,3.2380285,,,
18.34101,56.12296909,22.42340484,7.880635263,3.4749298,,,
5.6231275,56.29067986,24.83906338,7.340473905,-0.093093395,,8383.25,
10.467337,56.0838019,24.79596754,7.424900458,0.8778496,0.9046081,5430.6875,1.074418
12.423114,56.52718625,24.56722812,7.333363589,1.3542929,0.16662127,4932,0.55907714
16.610567,55.67443749,24.00417582,7.358094607,2.8263378,,3740.3252,
16.427818,55.67670627,23.3389731,7.460810442,2.603817,,4968.6665,
14.449774,56.13321858,23.87521792,7.322054696,2.5094843,,3855.25,
14.7757015,56.94337573,24.05048815,7.724362943,2.2833033,,3981.2532,
17.232887,56.30484331,24.2564152,7.898458186,2.799594,,,
8.880561,56.27210738,23.70247235,7.349525524,0.544425,3.7859666,6707.242,1.4409637
16.58435,56.55779798,22.70531444,7.353767145,3.200327,,3438.0525,
13.716083,56.61936741,24.75879692,7.278199057,1.8498583,0.077136755,3985.6667,0.5824805
15.818492,57.80779666,25.38630873,7.56929699,2.7841282,,3921.1,
16.35583,55.00785091,24.77372099,7.613657352,2.8906364,,4051.355,
16.771818,55.70384906,23.58000959,7.286980179,3.0782614,,3675.6667,
9.75268,56.96895125,23.94103047,7.415387497,0.7135601,1.6815845,6003.3,1.1987591
11.190211,56.18336554,24.23100971,7.397034568,1.020093,0.49034435,5118,0.890641
5.7392497,56.47708147,24.5543117,7.565820862,-0.036770344,,9622.667,
17.804312,57.55255803,23.81341915,7.477830952,3.2695503,,,
16.534473,56.48744901,23.02458799,7.37474183,3.0116816,,4283.49,
15.09426,56.27224269,25.4862387,7.282985276,2.4537535,0.033776663,3375.75,0.53730446
15.82534,56.08703131,23.56093497,7.441898171,2.727435,,4059.725,
15.682003,56.16515009,24.52875787,7.415109123,2.70125,,3904.6667,
17.22947,55.93374391,25.66363204,7.844462344,3.1438608,,,
16.385756,57.76508924,24.54296295,7.605512353,2.9486809,,3944.7651,
16.84685,55.829292,22.78609921,7.475554366,3.0769014,,4468.0864,
11.165423,57.58886082,23.09615126,7.480336613,1.040019,0.48561892,5175.5,0.86675394
14.086656,58.35353498,23.40396394,7.778710543,2.3299932,0.05540892,3773.8901,0.5506352
16.799902,57.37428122,23.64852185,6.939547771,3.1283836,,4177.2573,
16.963535,55.8549142,22.89549867,7.523731739,3.0718641,,4344.07,
14.4285,55.13134217,23.55045515,7.444586091,2.1765623,0.050004873,3598,0.5754883
16.200775,56.23629463,23.6063888,7.226963696,2.8170948,,3654.2031,
16.786037,55.40530447,25.14227342,7.729348997,3.0199938,,4188.9834,
12.720613,57.98900484,23.33922774,7.383240331,1.4733028,0.1443063,4479,0.63086027
14.508215,56.73798514,23.25047687,7.293201077,2.205596,,3939.34,
19.392122,56.13477591,25.42151793,6.747208255,3.1644707,,,
18.465488,58.50165876,24.58038022,8.009368313,3.7455063,,,
19.427324,56.60879246,24.08581835,7.77692049,2.5204163,,,
16.329964,57.5078149,25.21122869,7.22675304,2.9425802,,3572,
12.204215,57.71443861,23.3288752,7.387685649,1.2771721,0.2032673,4883.05,0.6299471
13.571771,56.32570007,25.09934751,7.433264378,1.7743263,,4265.8027,
9.894127,57.10911288,24.04818882,7.379283401,0.7418165,1.4934982,5955.5,1.1479383
12.184739,58.5372401,24.33349563,7.694849311,1.3641243,0.20704985,4610,0.71332633
16.828213,57.32008857,24.01608438,7.258054119,2.8169699,,3685.875,
6.7892323,57.4919852,23.8484936,7.069858329,0.06536198,,8966.75,
16.632647,58.352144,25.03513989,7.44048418,3.1973753,,3634.9348,
16.852837,57.57597915,24.58747275,7.426696208,2.9139128,,4632.6636,
17.449757,57.14795394,24.2006989,6.986213707,3.1382694,,,
9.42555,55.92874871,23.59457686,7.771735777,0.69458866,2.0601935,6140.7,1.2681507
15.380517,57.3877461,24.53383906,7.367681922,2.5844145,,4128.945,
15.173921,55.93219599,24.48753898,7.440780136,2.514865,,3571.1133,
17.069649,56.83519487,22.36556975,7.311602049,3.254424,,,
10.409135,56.7289157,24.79614094,7.345342084,0.8434305,0.9644756,5536.5,1.0674012
16.300144,56.4698812,23.46488078,7.238298297,2.9091682,,4258.297,
16.897665,56.88191944,23.87182457,7.532811981,3.0387383,,4019.4797,
17.800526,57.0424515,23.98878742,7.126641273,3.0547695,,,
3.5312312,57.29068442,24.05321808,8.429236085,0.015699863,,8060,
18.735573,56.87336577,23.88023819,7.472892359,3.0209484,,,
13.723226,57.07213878,24.50422712,7.419886086,1.8564491,0.07423668,3975.6174,0.57431847
12.555491,56.89040947,24.68400321,7.401604154,1.4201279,0.15286799,4730.6333,0.5820662
18.628334,55.42678215,23.91570356,6.663172214,3.283804,,,
15.497737,57.17568367,25.00770276,7.164507644,2.6659927,,3672.75,
19.027298,55.37654735,25.28488641,6.692186449,3.6401062,,,
17.712336,57.31517748,23.38017638,7.398609463,3.3867836,,,
18.468126,57.71450863,22.66593626,7.195033881,3.4330368,,,
17.63766,57.42149868,23.24966441,8.129727385,3.4985256,,,
7.940643,57.35836524,24.24750283,7.355163034,0.24247551,,8244,
18.924982,56.21365771,23.57224684,6.818198936,3.2094746,,,
11.964892,56.66420575,24.02948625,7.350862524,1.2158127,0.24757218,5028,0.6557118
13.605987,56.55371919,24.05417756,7.308287231,1.8048096,0.08709062,3944,0.63206905
12.79014,56.30646279,25.08756727,7.4194223,1.4788561,0.13412043,4477.5,0.6085958
11.690341,55.76235953,24.66956454,7.442522674,1.141139,0.3140783,4982.033,0.75224334
17.131018,56.27089235,23.76829824,7.458444334,3.1761122,,,
15.955802,57.05744752,23.63299648,7.359041668,2.797223,,3701.4275,
16.03968,56.74397707,24.46092815,7.304423947,2.7735243,,4141.0273,
17.104467,56.85469651,24.25462706,7.482173721,2.9714556,,,
11.9505205,56.53250508,24.86669822,7.14857491,1.3309612,0.2788804,4819.0664,0.75759274
17.965046,55.8061466,24.18347631,7.876520943,3.1039524,,,
16.51389,55.96570868,24.2376294,7.203331346,3.066925,,4617.895,
17.255703,55.47065369,24.12342025,7.331615901,3.0684757,,,
10.273763,56.23507507,24.43241115,7.422778448,0.8384485,1.0559919,5692.88,1.0563769
16.719881,56.22547743,24.44617472,7.727678407,2.6823597,,3803.325,
16.18561,56.30188432,22.69731377,7.16323329,2.8487291,,3930.78,
17.747196,57.67568339,23.49239538,7.771215452,3.297533,,,
17.27423,55.16566912,24.73558932,7.699982119,3.1742926,,,
17.326775,56.36469256,23.63234686,7.580835991,2.8570576,,,
17.012058,56.16231627,23.04026392,7.327613161,3.105401,,4092.995,
18.871933,57.48676142,24.98515528,7.566010812,3.4183617,,,
14.573225,57.2744816,23.73959735,6.124078464,2.4493809,0.055038664,3828,0.53338736
15.438348,57.96319951,23.29461298,7.476603915,2.6210842,,3579,
8.874772,55.87212131,22.73461748,7.480255772,0.5872078,3.6759744,6775,1.3916187
17.490278,56.73053821,23.3802193,7.308737563,3.1740704,,,
17.480928,55.79854817,24.11443835,7.14662937,3.1884098,,,
17.947327,55.246982,25.19856824,7.356663085,3.3857021,,,
16.61972,57.9794345,23.9615457,7.377598586,2.9731474,,4562.91,
12.022059,57.66384056,25.393558,5.752130003,1.4815159,0.47078994,4386.75,1.1879016
